step,loss,perplexity,timestamp
50,7.3525,1560.14,2026-01-01T04:00:26.987666
100,6.3836,592.03,2026-01-01T04:00:41.241447
150,6.0279,414.86,2026-01-01T04:00:55.596550
200,6.1651,475.84,2026-01-01T04:01:10.002563
250,6.1466,467.11,2026-01-01T04:01:24.451991
300,5.8808,358.11,2026-01-01T04:01:38.912483
350,6.0282,414.95,2026-01-01T04:01:53.392995
400,5.8809,358.14,2026-01-01T04:02:07.883618
450,5.6228,276.67,2026-01-01T04:02:22.369471
500,6.4665,643.20,2026-01-01T04:02:36.839867
550,7.5995,1997.20,2026-01-01T04:02:51.282266
600,7.5451,1891.42,2026-01-01T04:03:05.755040
650,7.3997,1635.50,2026-01-01T04:03:20.238461
700,7.2572,1418.22,2026-01-01T04:03:34.728069
750,7.0876,1197.07,2026-01-01T04:03:49.200785
800,7.2113,1354.72,2026-01-01T04:04:03.690045
850,6.9484,1041.47,2026-01-01T04:04:18.181050
900,7.2337,1385.40,2026-01-01T04:04:32.676190
950,7.0008,1097.50,2026-01-01T04:04:47.169652
1000,6.4190,613.36,2026-01-01T04:05:01.642799
1050,5.6654,288.72,2026-01-01T04:05:18.226020
1100,5.5026,245.33,2026-01-01T04:05:32.744980
1150,5.4337,229.00,2026-01-01T04:05:47.260671
1200,5.4505,232.86,2026-01-01T04:06:01.763355
1250,5.4287,227.86,2026-01-01T04:06:16.280082
1300,5.2807,196.51,2026-01-01T04:06:30.799923
1350,5.3778,216.55,2026-01-01T04:06:45.329967
1400,5.2698,194.38,2026-01-01T04:06:59.837184
1450,5.3200,204.38,2026-01-01T04:07:14.324306
1500,5.2059,182.34,2026-01-01T04:07:28.801447
1550,4.9772,145.07,2026-01-01T04:07:43.325151
1600,5.1606,174.26,2026-01-01T04:07:57.825876
1650,5.1626,174.62,2026-01-01T04:08:12.329841
1700,4.9995,148.34,2026-01-01T04:08:26.819376
1750,4.9723,144.36,2026-01-01T04:08:41.334406
